player1_name,player2_name,player1_rank,player2_rank,player1_fitness,player2_fitness,player1_clay_winrate,player2_clay_winrate,player1_recent_form,player2_recent_form,rank_diff,fitness_diff,clay_winrate_diff,recent_form_diff
Marin Cilic,Tommy Paul,45,26,96.45,86.12,53.87,73.82,75.42,94.21,19,10.33,-19.95,-18.79
Novak Djokovic,Francisco Comesana,4,114,97.58,77.28,81.79,57.17,98.89,70.4,-110,20.3,24.62,28.49
Roberto Bautista Agut,Daniel Altmaier,99,65,70.36,77.29,53.11,68.38,56.72,75.45,34,-6.93,-15.27,-18.73
Dino Prizmic,Cameron Norrie,71,22,73.39,100.0,61.94,69.5,84.98,80.83,49,-26.61,-7.56,4.15
Aleksandar Vukic,Benjamin Bonzi,100,98,74.26,78.19,55.91,58.27,67.66,69.06,2,-3.93,-2.36,-1.4
Quentin Halys,Hugo Gaston,88,120,88.0,85.14,65.62,52.38,69.49,54.44,-32,2.86,13.24,15.05
Nishesh Basavareddy,Denis Shapovalov,156,37,81.54,87.05,52.2,63.15,53.5,64.52,119,-5.51,-10.95,-11.02
Mattia Bellucci,Francisco Cerundolo,72,27,85.98,97.72,77.21,67.19,69.1,73.26,45,-11.74,10.02,-4.16
Luca Van Assche,Aleksandar Kovacevic,103,94,84.02,78.7,62.9,56.62,42.38,62.03,9,5.32,6.28,-19.65
Zhizhen Zhang,Juan Manuel Cerundolo,226,54,59.55,100.0,54.96,74.4,55.86,74.9,172,-40.45,-19.44,-19.04
Learner Tien,Sebastian Ofner,20,91,100.0,85.73,58.14,54.81,89.25,69.76,-71,14.27,3.33,19.49
Arthur Rinderknech,Jan-Lennard Struff,24,79,100.0,87.25,69.8,65.09,62.75,69.06,-55,12.75,4.71,-6.31
Tomas Martin Etcheverry,Alejandro Davidovich Fokina,25,23,97.34,88.61,85.18,68.34,66.54,66.36,2,8.73,16.84,0.18
Rinky Hijikata,Marton Fucsovics,102,59,76.87,95.78,70.38,58.5,59.91,72.06,43,-18.91,11.88,-12.15
Arthur Gea,Thanasi Kokkinakis,140,330,72.8,55.0,62.51,30.14,59.15,24.39,-190,17.8,32.37,34.76
Ben Shelton,Miomir Kecmanovic,6,47,91.58,100.0,82.04,71.14,77.71,67.51,-41,-8.42,10.9,10.2
Cristian Garin,Taylor Fritz,116,8,71.69,100.0,63.79,70.5,69.87,89.34,108,-28.31,-6.71,-19.47
Pablo Carreno Busta,Jacob Fearnley,90,122,69.02,83.79,58.88,62.84,80.68,70.1,-32,-14.77,-3.96,10.58
Alexander Bublik,Matteo Arnaldi,10,96,100.0,90.6,74.33,60.24,75.29,59.47,-86,9.4,14.09,15.82
Marco Trungelliti,Eliot Spizzirri,81,92,89.41,84.7,62.32,73.08,75.08,54.07,-11,4.71,-10.76,21.01
Camilo Ugo Carabelli,Ignacio Buse,68,57,81.11,86.58,65.77,58.95,52.73,74.0,11,-5.47,6.82,-21.27
Alexandre Muller,Reilly Opelka,108,75,77.43,76.75,66.92,54.89,58.64,75.08,33,0.68,12.03,-16.44
Clement Tabur,Arthur Fils,165,19,79.44,94.63,38.38,75.72,50.23,89.41,146,-15.19,-37.34,-39.18
Alexander Blockx,Raphael Collignon,36,64,94.89,91.53,78.35,64.55,74.85,68.93,-28,3.36,13.8,5.92
Jenson Brooksby,Alex Michelsen,60,41,89.65,88.18,70.83,62.95,78.46,72.02,19,1.47,7.88,6.44
Marcos Giron,Hamad Medjedovic,84,56,82.86,90.16,56.59,59.14,52.12,69.11,28,-7.3,-2.55,-16.99
